Track Name,Artist,Album,Thumbnail URL,Track ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
ZEZE (feat. Travis Scott & Offset),"Kodak Black, Offset, Travis Scott",Dying to Live,https://i.scdn.co/image/ab67616d0000b273f9508eb3070b95ceeb82788b,0FZ4Dmg8jJJAPJnvBIzD9z,0.861,0.603,8.0,-5.788,0.0,0.176,0.0521,0.0,0.0924,0.504,98.043,audio_features,0FZ4Dmg8jJJAPJnvBIzD9z,spotify:track:0FZ4Dmg8jJJAPJnvBIzD9z,https://api.spotify.com/v1/tracks/0FZ4Dmg8jJJAPJnvBIzD9z,https://api.spotify.com/v1/audio-analysis/0FZ4Dmg8jJJAPJnvBIzD9z,228760.0,4.0
God is a woman,Ariana Grande,Sweetener,https://i.scdn.co/image/ab67616d0000b273c3af0c2355c24ed7023cd394,5OCJzvD7sykQEKHH7qAC3C,0.602,0.658,1.0,-5.934,1.0,0.0558,0.0233,6e-05,0.237,0.268,145.031,audio_features,5OCJzvD7sykQEKHH7qAC3C,spotify:track:5OCJzvD7sykQEKHH7qAC3C,https://api.spotify.com/v1/tracks/5OCJzvD7sykQEKHH7qAC3C,https://api.spotify.com/v1/audio-analysis/5OCJzvD7sykQEKHH7qAC3C,197547.0,4.0
Crazy In Love (feat. Jay-Z),"Beyoncé, JAY-Z",Dangerously In Love,https://i.scdn.co/image/ab67616d0000b27345680a4a57c97894490a01c1,5IVuqXILoxVWvWEPm82Jxr,0.646,0.77,2.0,-6.596,0.0,0.226,0.00249,0.0,0.0715,0.681,99.165,audio_features,5IVuqXILoxVWvWEPm82Jxr,spotify:track:5IVuqXILoxVWvWEPm82Jxr,https://api.spotify.com/v1/tracks/5IVuqXILoxVWvWEPm82Jxr,https://api.spotify.com/v1/audio-analysis/5IVuqXILoxVWvWEPm82Jxr,236133.0,4.0
Rap God,Eminem,The Marshall Mathers LP2,https://i.scdn.co/image/ab67616d0000b273c6338d684995af10c2bf0533,7xB3TwyZMOnKcF50RIXh5b,0.709,0.843,7.0,-2.66,1.0,0.314,0.395,0.0,0.799,0.625,148.134,audio_features,7xB3TwyZMOnKcF50RIXh5b,spotify:track:7xB3TwyZMOnKcF50RIXh5b,https://api.spotify.com/v1/tracks/7xB3TwyZMOnKcF50RIXh5b,https://api.spotify.com/v1/audio-analysis/7xB3TwyZMOnKcF50RIXh5b,363521.0,4.0
Say Something,"A Great Big World, Christina Aguilera",Is There Anybody Out There?,https://i.scdn.co/image/ab67616d0000b273554488d0c51967b1654d8ce5,6Vc5wAMmXdKIAM7WUoEb7N,0.407,0.147,2.0,-8.822,1.0,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,audio_features,6Vc5wAMmXdKIAM7WUoEb7N,spotify:track:6Vc5wAMmXdKIAM7WUoEb7N,https://api.spotify.com/v1/tracks/6Vc5wAMmXdKIAM7WUoEb7N,https://api.spotify.com/v1/audio-analysis/6Vc5wAMmXdKIAM7WUoEb7N,229400.0,3.0
Roar,Katy Perry,PRISM,https://i.scdn.co/image/ab67616d0000b27347f930accd8ac01686401fa2,27tNWlhdAryQY04Gb2ZhUI,0.671,0.771,7.0,-4.821,0.0,0.0316,0.00492,7.28e-06,0.354,0.436,90.003,audio_features,27tNWlhdAryQY04Gb2ZhUI,spotify:track:27tNWlhdAryQY04Gb2ZhUI,https://api.spotify.com/v1/tracks/27tNWlhdAryQY04Gb2ZhUI,https://api.spotify.com/v1/audio-analysis/27tNWlhdAryQY04Gb2ZhUI,223546.0,4.0
TiK ToK,Kesha,Animal (Expanded Edition),https://i.scdn.co/image/ab67616d0000b2737a6339d6ddfd579f77559b3c,0HPD5WQqrq7wPWR7P7Dw1i,0.755,0.837,2.0,-2.718,0.0,0.142,0.0991,0.0,0.289,0.714,120.028,audio_features,0HPD5WQqrq7wPWR7P7Dw1i,spotify:track:0HPD5WQqrq7wPWR7P7Dw1i,https://api.spotify.com/v1/tracks/0HPD5WQqrq7wPWR7P7Dw1i,https://api.spotify.com/v1/audio-analysis/0HPD5WQqrq7wPWR7P7Dw1i,199693.0,4.0
Like I'm Gonna Lose You (feat. John Legend),"Meghan Trainor, John Legend",Title (Deluxe),https://i.scdn.co/image/ab67616d0000b2733b11178cccd78ec77fc12dbc,2YlZnw2ikdb837oKMKjBkW,0.63,0.53,0.0,-7.259,1.0,0.0434,0.4,0.0,0.177,0.417,108.038,audio_features,2YlZnw2ikdb837oKMKjBkW,spotify:track:2YlZnw2ikdb837oKMKjBkW,https://api.spotify.com/v1/tracks/2YlZnw2ikdb837oKMKjBkW,https://api.spotify.com/v1/audio-analysis/2YlZnw2ikdb837oKMKjBkW,225053.0,3.0
"Paint It, Black",The Rolling Stones,Aftermath,https://i.scdn.co/image/ab67616d0000b273bad7062c3fd2f2d037989694,63T7DJ1AFDD6Bn8VzG6JE8,0.464,0.795,1.0,-9.267,1.0,0.0926,0.0493,0.00244,0.399,0.612,158.691,audio_features,63T7DJ1AFDD6Bn8VzG6JE8,spotify:track:63T7DJ1AFDD6Bn8VzG6JE8,https://api.spotify.com/v1/tracks/63T7DJ1AFDD6Bn8VzG6JE8,https://api.spotify.com/v1/audio-analysis/63T7DJ1AFDD6Bn8VzG6JE8,202267.0,4.0
Zombie,The Cranberries,No Need To Argue (The Complete Sessions 1994-1995),https://i.scdn.co/image/ab67616d0000b27372d481a5999197ef5f42f796,7EZC6E7UjZe63f1jRmkWxt,0.309,0.649,7.0,-8.994,1.0,0.035,0.0158,0.00591,0.367,0.312,166.915,audio_features,7EZC6E7UjZe63f1jRmkWxt,spotify:track:7EZC6E7UjZe63f1jRmkWxt,https://api.spotify.com/v1/tracks/7EZC6E7UjZe63f1jRmkWxt,https://api.spotify.com/v1/audio-analysis/7EZC6E7UjZe63f1jRmkWxt,306440.0,4.0
